#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-07-04T19:37:03 [V7.33.3]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2024-07-04T19:37:03	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=200&-out.add=_RAJ,_DEJ&-sort=_r&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=I/239/hip_main&-order=I&-out=HIP&-out=RAhms&-out=DEdms&-out=Vmag&-out=Plx&-out=e_Plx&-out=B-V&-out=Notes&-out=SpType&HIPep=HIPep&Erratum=Erratum&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.33.3	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#INFO	ivoid=ivo://cds.vizier/i/239	    IVOID of underlying data collection
#INFO	creator=ESA 1997	    First author or institution
#INFO	cites=1997HIP...C......0E	    Article or Data origin sources
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/I/239	    Dataset landing page
#INFO	publication_date=2021-11-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_1991.250:	ICRS
#Table	I_239_hip_main:
#Name: I/239/hip_main
#Title: The Hipparcos Main Catalogue
#Column	_RAJ2000	(F14.10)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F14.10)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.dec]
#Column	HIP	(I6)	Identifier (HIP number) (H1)	[ucd=meta.id;meta.main]
#Column	RAhms	(A11)	Right ascension in h m s, ICRS (J1991.25) (H3)	[ucd=pos.eq.ra]
#Column	DEdms	(A11)	Declination in deg ' ", ICRS (J1991.25) (H4)	[ucd=pos.eq.dec]
#Column	Vmag	(F5.2)	? Magnitude in Johnson V (H5)	[ucd=phot.mag;em.opt.V]
#Column	Plx	(F7.2)	? Trigonometric parallax (H11)	[ucd=pos.parallax.trig]
#Column	e_Plx	(F6.2)	? Standard error in Plx (H16)	[ucd=stat.error;pos.parallax]
#Column	B-V	(F6.3)	? Johnson B-V colour (H37)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	Notes	(A1)	[DGPWXYZ] Existence of notes (H70)	[ucd=meta.note]
#Column	SpType	(a12)	Spectral type (H76)	[ucd=src.spType]
_RAJ2000	_DEJ2000	HIP	RAhms	DEdms	Vmag	Plx	e_Plx	B-V	Notes	SpType
deg	deg	 	 	 	mag	mas	mas	mag	 	
--------------	--------------	------	-----------	-----------	-----	-------	------	------	-	------------
000.0008992088	+01.0890087506	     1	00 00 00.22	+01 05 20.4	 9.10	   3.54	  1.39	 0.482	 	F5
000.0042646079	-19.4988397098	     2	00 00 00.91	-19 29 55.8	 9.27	  21.90	  3.10	 0.999	 	K3V
000.0050243058	+38.8592790071	     3	00 00 01.20	+38 51 33.4	 6.61	   2.81	  0.63	-0.019	 	B9
000.0086292358	-51.8935457309	     4	00 00 02.01	-51 53 36.8	 8.06	   7.75	  0.97	 0.370	 	F0V
000.0099734379	-40.5912023549	     5	00 00 02.39	-40 35 28.4	 8.55	   2.87	  1.11	 0.902	 	G8III
000.0186927577	+03.9464577215	     6	00 00 04.35	+03 56 47.4	12.31	  18.80	  4.99	 1.336	 	M0V:
000.0220104750	+20.0361141279	     7	00 00 05.41	+20 02 11.8	 9.64	  17.74	  1.30	 0.740	 	G0
000.0273431742	+25.8864606930	     8	00 00 06.55	+25 53 11.3	 9.05	   5.17	  1.95	 1.102	P	M6e-M8.5e Tc
000.0353228200	+36.5859582353	     9	00 00 08.48	+36 35 09.4	 8.59	   4.81	  0.99	 1.067	 	G5
000.0364157245	-50.8669763291	    10	00 00 08.70	-50 52 01.5	 8.59	  10.76	  1.10	 0.489	 	F6V
000.0373364290	+46.9399966303	    11	00 00 08.95	+46 56 24.0	 7.34	   4.29	  0.84	 0.081	 	A2
000.0408995731	-35.9602250631	    12	00 00 09.82	-35 57 36.8	 8.43	   4.06	  1.16	 1.484	 	K4III
000.0417019456	-22.5947050757	    13	00 00 10.00	-22 35 40.9	 8.80	   3.49	  1.48	 1.128	 	K0III
000.0484219798	-00.3604495546	    14	00 00 11.59	-00 21 37.5	 7.25	   5.11	  0.99	 1.200	 	K0
000.0503622674	+50.7911871351	    15	00 00 12.07	+50 47 28.2	 8.60	   2.45	  1.16	 1.166	 	K2
000.0509899235	-40.1923925137	    17	00 00 12.26	-40 11 32.4	 8.15	   6.15	  1.00	 0.425	 	F3V
000.0524968995	-54.9143630497	    16	00 00 12.34	-54 54 50.9	11.71	   0.53	  2.63	 0.421	 	
000.0528292392	-04.0536803313	    18	00 00 12.75	-04 03 13.5	11.03	  19.93	  2.36	 1.567	 	K5
000.0533092167	+38.3040497315	    19	00 00 12.80	+38 18 14.7	 6.53	   4.12	  0.64	 0.955	 	G5
000.0630459348	+23.5292281158	    20	00 00 15.11	+23 31 45.4	 8.51	  10.76	  1.06	 0.516	 	G0
000.0663875981	+08.0072338353	    21	00 00 15.90	+08 00 26.0	 7.55	   5.84	  0.95	 1.438	 	K2
000.0701064532	-49.3522657419	    22	00 00 16.83	-49 21 08.2	 8.69	   4.47	  1.15	 0.962	 	G8/K0III/IV
000.0745645488	+13.3122342848	    23	00 00 17.86	+13 18 44.0	 7.57	  12.21	  0.95	 0.456	 	F2V
000.0763866647	-23.4526951227	    24	00 00 18.25	-23 27 09.9	 9.05	   9.73	  1.21	 0.528	 	G0V
000.0795635338	-44.2905614654	    25	00 00 19.05	-44 17 25.1	 6.28	  13.74	  0.98	 0.763	 	G3IV
000.0840876191	-13.3933779189	    26	00 00 20.24	-13 23 35.9	 9.13	   9.19	  1.34	 0.535	 	F7V
000.0859096150	-41.2978132404	    27	00 00 20.51	-41 17 51.1	 9.32	   9.66	  1.38	 0.671	 	G5V
000.0872120694	-43.3618207415	    28	00 00 20.94	-43 21 42.5	 8.83	   5.64	  1.05	 0.468	 	F3/F5V
000.0922307868	-49.1079452062	    29	00 00 22.11	-49 06 28.6	 9.14	   2.85	  1.40	 1.041	 	G8III
